Month No.,Rice Value: Million Baht,Rubber Value: Million Baht,Cassava Value: Million Baht                                                                       
1,15287.1524,11247.1256,8069.6488
2,11694.1134,11081.9339,8847.4651
3,12626.6769,11533.3705,9152.4273
4,11460.7821,10134.3799,7982.5181
5,11349.8765,11449.6101,7364.682
6,9806.1416,13292.2002,5654.6147
7,9622.5135,12810.9245,6086.145
8,8436.7911,10508.0508,5722.283
9,9728.2177,8691.2551,5137.2223
10,10462.19,8965.101,6684.9225
11,10865.7918,9065.6525,5218.7578
12,9244.315,9710.8075,5051.5759
13,9358.3759,11627.7062,6208.9061
14,8220.6957,11275.5153,7662.7404
15,10963.294,8684.4399,7954.1362
16,14552.0073,8284.5235,7681.7905
17,11139.5878,6775.1628,8120.5057
18,7807.9419,5901.4844,5365.4668
19,7990.6886,5857.6568,6111.2925
20,7476.9449,7315.675,6795.9637
21,7645.7257,7759.7972,6800.6739
22,8560.5024,10379.1461,5991.9558
23,13072.3813,12380.598,6135.2469
24,9257.2215,12658.4944,8300.2238
25,11754.7979,9301.0059,7834.3475
26,13671.2166,11083.8847,8001.9962
27,17426.1407,12147.3951,6692.7388
28,14510.8591,10319.7561,6385.4544
29,12994.2728,8644.2873,6201.5768
30,12301.1089,9579.5613,7114.923
31,13160.6538,10056.3605,7466.5685
32,15062.0889,10448.143,9711.4628
33,15137.9473,10431.7651,10867.6477
34,16766.1386,8262.211,12187.6719
35,16371.8903,9762.4236,12771.3223
36,16820.7662,13320.5094,12522.6503
