Value: million baht (2019),Value: million baht (2020),Value: million baht (2021),Growth rate (%) (2019),Growth rate (%) (2020),Growth rate (%) (2021),Proportion (%) (2019),Proportion (%) (2020),Proportion (%) (2021)
189845.9496,212487.8363,342806.8853,2.86,11.93,61.33,28.12,32.38,41.81
98455.9984,92518.1268,99782.545,-3.96,-6.03,7.85,14.58,14.1,12.17
47243.1917,46705.254,49910.6354,1.63,-1.14,6.86,7.0,7.12,6.09
30876.3028,31384.4017,41268.8069,-18.12,1.65,31.49,4.57,4.78,5.03
21380.9605,25650.6,20709.4688,6.36,19.97,-19.26,3.17,3.91,2.53
16651.9514,15341.3671,20281.8526,-5.8,-7.87,32.2,2.47,2.34,2.47
22965.7195,19754.9866,18283.3193,-1.63,-13.98,-7.45,3.4,3.01,2.23
32173.1389,22883.8349,16990.4327,-22.26,-28.87,-25.75,4.76,3.49,2.07
14209.6179,11312.1975,13844.1474,-12.17,-20.39,22.38,2.1,1.72,1.69
10247.907,10788.1617,11771.5525,-12.93,5.27,9.12,1.52,1.64,1.44
10059.211,9968.1637,11648.5746,-8.36,-0.91,16.86,1.49,1.52,1.42
5748.7348,5886.5765,9608.9465,2.1,2.4,63.23,0.85,0.9,1.17
11622.1215,9199.8429,9519.3575,-49.64,-20.84,3.47,1.72,1.4,1.16
8670.3322,10304.8179,8792.2992,-1.68,18.85,-14.68,1.28,1.57,1.07
